INSTALL_YR,INSTALL_MO,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,LAT,LON,point
2010,9,647,1631 OCEAN AVE,NCPS,OCEAN,SIDEWALK,1,2,{7337F39A-EBBA-43C1-A5C0-296571D141B7},37.724406,-122.459797,POINT (-122.4597967925067 37.724406010334405)
2004,0,1960,3913 24TH ST,Savor,24TH,SIDEWALK,1,2,{57C56DCE-DE09-462E-B190-0B2A34539F3C},37.751288,-122.430024,POINT (-122.43002379492016 37.75128800595019)
2005,0,2643,428 03RD ST,Rayko Photo Center,03RD,SIDEWALK,2,4,{90BEBAAB-89ED-4620-8588-6414835E11B3},37.781964,-122.397278,POINT (-122.39727779566955 37.78196400155462)
2004,0,1108,265 KING ST,Avalon at Mission Bay,KING,SIDEWALK,3,3,{F76F49F0-E98E-4C69-A14C-6E7CE10D6D76},37.776211,-122.393931,POINT (-122.39393079683718 37.77621100204948)
2016,8,3391,1552 polk st,Common Sage,POLK,SIDEWALK,3,6,{E2266A03-A979-48A1-ACF4-6BDEDCAC6B61},37.791074,-122.4207,POINT (-122.42070020719177 37.79107435366886)
2013,1,2079,685 MARKET ST,La Boulange Cafe & Bakery,MARKET,SIDEWALK,2,4,{23911432-C558-404B-9789-EA3B3D9CACF4},37.787641,-122.402746,POINT (-122.40274579362847 37.787641001602445)
2003,0,981,901 VALENCIA ST,La Rondalla Restaurant,20TH,SIDEWALK,1,2,{D78A730D-7FA8-4871-A35A-4BBD470AAAA2},37.758346,-122.420945,POINT (-122.42094479510453 37.7583460056493)
2003,0,1369,2305 IRVING ST,Little Paris,IRVING,SIDEWALK,1,2,{20E6502F-A23E-4679-94C3-C8889DC72FE8},37.763066,-122.482629,POINT (-122.48262878556525 37.76306600919817)
2015,1,2745,1811 HAIGHT ST,Murio's Trophy Room,HAIGHT,SIDEWALK,2,4,{E8CCB5C6-F3EE-47E1-B7B3-360F3A90C26B},37.769195,-122.452167,POINT (-122.45216678865518 37.76919500700918)
2012,2,2555,1799 MCALLISTER ST,Matching Half Cafe,MCALLISTER,SIDEWALK,1,2,{5CAD655F-E7B3-40B9-8D10-2C99E7041CF0},37.777213,-122.441413,POINT (-122.44141278951774 37.77721300501366)
2010,9,117,9 GROVE ST,multiple,GROVE,SIDEWALK,6,12,{DFBB8EA0-DCCD-456E-B185-E6B985AD94A8},37.778579,-122.415428,POINT (-122.41542849364235 37.77857916376384)
2015,10,867,50 FREMONT ST,Salesforce,FREMONT,SIDEWALK,2,4,{43D8B2FD-A7F3-41A1-B904-891FB7E3F198},37.79104,-122.397538,POINT (-122.39753837212203 37.79104012013166)
2010,10,2482,3211 MISSION ST,Taqueria Can Cun,MISSION,SIDEWALK,1,2,{7A409943-A09E-4A21-8B2F-A31C6EC17028},37.745265,-122.419763,POINT (-122.41976279693641 37.745265006159514)
0,0,1459,1351 MCALLISTER ST,residential,MCALLISTER,SIDEWALK,1,2,{9DB648DD-7FAB-4E20-AAAE-186B167CC56C},37.778029,-122.434194,POINT (-122.43419379040215 37.77802900443713)
2015,6,376,734 LA PLAYA ST,Kawika's Ocean Beach Deli,LA PLAYA,SIDEWALK,1,2,{D1E4B445-3498-4369-8A70-E5E004D2AE7C},37.774537,-122.509945,POINT (-122.50994487937928 37.77453661068726)
0,0,826,603 HAIGHT ST,Vickie's Boutique,HAIGHT,SIDEWALK,1,2,{E03044A4-E4A9-4A35-B090-A958FDDBB34B},37.771641,-122.432203,POINT (-122.4322027920304 37.77164147441613)
2004,0,2087,4780 MISSION ST,Burger King,MISSION,SIDEWALK,1,2,{FFF616EB-B7F7-4F6F-ABCF-FAF86F655DA8},37.721698,-122.437366,POINT (-122.43736579681219 37.72169800970371)
2002,0,568,3409 24TH ST,Papalote,24TH,SIDEWALK,1,2,{5B03F2F7-78A8-4563-B112-AA5246F37DD3},37.751935,-122.42093,POINT (-122.42092979582175 37.751935005944404)
2015,10,1422,1155 PAGE ST,French American School,PAGE,SIDEWALK,2,4,{5EFAD849-4D4F-485E-A0F0-8C386E964181},37.771807,-122.439788,POINT (-122.43978784933384 37.77180685027034)
2006,0,2914,910 MONTGOMERY ST,The Purple Onion,MONTGOMERY,SIDEWALK,1,2,{6940DCC9-553C-41FD-A831-E06D697CF240},37.797484,-122.403709,POINT (-122.40370879258751 37.79748400137511)
2013,11,195,825 MARKET ST,Walgreens,MARKET,SIDEWALK,2,4,{8038B58D-4615-454B-BCF7-7761B7229133},37.784798,-122.406058,POINT (-122.40605759462376 37.784797692404226)
2010,11,2328,525 MARKET ST,Chipotle,MARKET,SIDEWALK,1,2,{5FE70BBC-0292-46B4-B77E-9B87FD11C58C},37.790402,-122.399263,POINT (-122.39926279490656 37.7904020007795)
2013,10,1828,1520 STOCKTON ST,North East Medical Services,STOCKTON,SIDEWALK,1,2,{3B250345-C176-446B-AD5D-62CB0E738BF1},37.799936,-122.408712,POINT (-122.4087117916386 37.79993600085435)
2004,0,154,3409 24TH ST,Papalote,24TH,SIDEWALK,1,2,{54F737B7-C09A-4F3E-AD10-B38F27A1E5C9},37.751935,-122.42093,POINT (-122.42092979582175 37.751935005944404)
2004,0,2183,519 LAGUNA ST,UNKNOWN,LAGUNA,SIDEWALK,1,2,{4AD9506E-271A-412A-ADED-D9C48C1365E7},37.776091,-122.426348,POINT (-122.42634779170794 37.77609100450785)
